    0.000694     MBPol_CLATHRATE_CS2_16_277K1ATM11
    0.000683     TIP4P2005_LIQUID_253K_20ATM301
    0.000681     MBPol_LIQUID_277K_1ATM4920
    0.000677     TIP4P2005_LIQUID_273K_5ATM66
    0.000672     MBPol_LIQUID_277K_1ATM5740
    0.000670     MBPol_CLATHRATE_CS2_12_273K1ATM47
    0.000668     MBPol_LIQUID_253K_1ATM1235
    0.000664     MBPol_CLATHRATE_CS2_12_298K1ATM28
    0.000659     MBPol_LIQUID_253K_1ATM1003
    0.000658     MBPol_CLATHRATE_CS1_298K1ATM26
    0.000651     MBPol_LIQUID_253K_1ATM580
    0.000650     MBPol_LIQUID_277K_1ATM9090
    0.000650     MBPol_LIQUID_277K_1ATM5824
    0.000649     MBPol_LIQUID_277K_1ATM60
    0.000648     TIP4P2005_LIQUID_253K_5ATM26
    0.000643     MBPol_LIQUID_253K_1ATM1438
    0.000643     MBPol_CLATHRATE_CS2_16_298K1ATM27
    0.000635     TIP3P_CHLATRATE_DODEC_NVT_313K119
    0.000632     MBPol_CLATHRATE_CS2_16_298K1ATM37
    0.000631     MBPol_CLATHRATE_CS2_16_277K1ATM56
    0.000629     MBPol_LIQUID_277K_1ATM901
    0.000624     TIP4P2005_LIQUID_273K_30ATM206
    0.000621     MBPol_LIQUID_253K_1ATM907
    0.000618     MBPol_LIQUID_277K_1ATM87
    0.000617     MBPol_LIQUID_277K_1ATM4376
    0.000608     MBPol_CLATHRATE_CS2_12_288K1ATM99
    0.000602     MBPol_CLATHRATE_CS2_12_277K1ATM80
    0.000601     MBPol_LIQUID_253K_1ATM1884
    0.000599     TIP4P2005_LIQUID_253K_15ATM162
    0.000598     MBPol_LIQUID_277K_1ATM3623
    0.000598     TIP4P2005_LIQUID_293K_30ATM80
    0.000597     MBPol_LIQUID_277K_1ATM9847
    0.000596     TIP4P2005_LIQUID_253K_10ATM88
    0.000595     MBPol_CLATHRATE_CS2_16_273K1ATM96
    0.000593     MBPol_CLATHRATE_CS2_16_273K1ATM28
    0.000585     MBPol_LIQUID_277K_1ATM1695
    0.000585     TIP4P2005_LIQUID_253K_5ATM83
    0.000584     MBPol_CLATHRATE_CS2_16_288K1ATM25
    0.000582     MBPol_CLATHRATE_CS2_16_253K1ATM12
    0.000578     TIP3P_CHLATRATE_DODEC_NVT_303K24
    0.000578     MBPol_CLATHRATE_CS2_16_277K1ATM12
    0.000575     MBPol_LIQUID_277K_1ATM9882
    0.000574     TIP3P_CHLATRATE_DODEC_NVT_303K89
    0.000570     MBPol_LIQUID_277K_1ATM9798
    0.000569     MBPol_CLATHRATE_CS1_277K1ATM41
    0.000568     TIP3P_CHLATRATE_DODEC_NVT_303K136
    0.000561     TIP3P_CHLATRATE_DODEC_NVT_313K25
    0.000558     MBPol_LIQUID_277K_1ATM510
    0.000558     TIP4P2005_LIQUID_273K_5ATM230
    0.000558     MBPol_LIQUID_277K_1ATM1930
    0.000557     MBPol_LIQUID_253K_1ATM2218
    0.000553     TIP4P2005_LIQUID_273K_1ATM179
    0.000552     TIP4P2005_LIQUID_293K_10ATM231
    0.000552     MBPol_LIQUID_253K_1ATM471
    0.000550     MBPol_LIQUID_277K_1ATM529
    0.000549     MBPol_LIQUID_277K_1ATM885
    0.000546     TIP4P2005_LIQUID_273K_5ATM264
    0.000544     MBPol_CLATHRATE_CS2_16_277K1ATM33
    0.000543     MBPol_LIQUID_277K_1ATM230
    0.000539     MBPol_CLATHRATE_CS1_277K1ATM37
    0.000539     MBPol_CLATHRATE_CS2_16_298K1ATM40
    0.000539     TIP4P2005_LIQUID_293K_30ATM227
    0.000538     TIP4P2005_LIQUID_253K_5ATM306
    0.000534     MBPol_LIQUID_277K_1ATM1805
    0.000532     MBPol_LIQUID_277K_1ATM617
    0.000531     MBPol_LIQUID_277K_1ATM8104
    0.000529     MBPol_LIQUID_253K_1ATM1866
    0.000529     TIP4P2005_LIQUID_293K_10ATM136
    0.000529     TIP4P2005_LIQUID_253K_1ATM232
    0.000527     TIP4P2005_LIQUID_253K_10ATM208
    0.000527     MBPol_CLATHRATE_CS2_16_253K1ATM15
    0.000525     MBPol_LIQUID_277K_1ATM5318
    0.000524     MBPol_LIQUID_277K_1ATM8096
    0.000524     MBPol_CLATHRATE_CS2_16_273K1ATM53
    0.000524     MBPol_LIQUID_253K_1ATM1376
    0.000519     MBPol_CLATHRATE_CS2_16_298K1ATM9
    0.000519     TIP4P2005_LIQUID_293K_20ATM90
    0.000518     MBPol_LIQUID_277K_1ATM847
    0.000518     MBPol_CLATHRATE_CS2_16_253K1ATM77
    0.000517     MBPol_CLATHRATE_CS1_277K1ATM46
    0.000514     MBPol_CLATHRATE_CS2_16_277K1ATM96
    0.000514     MBPol_CLATHRATE_CS2_12_288K1ATM89
    0.000513     TIP4P2005_LIQUID_273K_5ATM280
    0.000509     TIP4P2005_LIQUID_273K_5ATM206
    0.000508     MBPol_LIQUID_277K_1ATM6577
    0.000508     MBPol_LIQUID_277K_1ATM1041
    0.000507     MBPol_LIQUID_277K_1ATM5148
    0.000505     MBPol_LIQUID_277K_1ATM7094
    0.000503     MBPol_CLATHRATE_CS2_12_273K1ATM53
    0.000502     MBPol_CLATHRATE_CS2_16_253K1ATM54
    0.000502     MBPol_LIQUID_253K_1ATM1382
    0.000499     TIP4P2005_LIQUID_253K_15ATM352
    0.000498     MBPol_CLATHRATE_CS2_12_273K1ATM23
    0.000498     MBPol_CLATHRATE_CS2_16_273K1ATM7
    0.000497     MBPol_CLATHRATE_CS2_16_298K1ATM4
    0.000495     MBPol_CLATHRATE_CS2_12_277K1ATM8
    0.000494     TIP3P_CHLATRATE_DODEC_NVT_293K1
    0.000492     MBPol_CLATHRATE_CS2_16_273K1ATM42
    0.000488     MBPol_CLATHRATE_CS1_253K1ATM56
    0.000488     MBPol_LIQUID_277K_1ATM3150
    0.000487     MBPol_CLATHRATE_CS2_12_277K1ATM5
    0.000487     TIP4P2005_LIQUID_293K_20ATM31
    0.000483     MBPol_LIQUID_253K_1ATM1442
    0.000480     TIP3P_CHLATRATE_DODEC_NVT_263K25
    0.000478     MBPol_LIQUID_277K_1ATM7136
    0.000477     TIP4P2005_LIQUID_273K_5ATM284
    0.000473     MBPol_LIQUID_277K_1ATM4369
    0.000468     MBPol_LIQUID_277K_1ATM1010
    0.000465     TIP4P2005_LIQUID_293K_5ATM40
    0.000464     MBPol_LIQUID_277K_1ATM1588
    0.000463     TIP4P2005_LIQUID_253K_10ATM163
    0.000462     MBPol_LIQUID_277K_1ATM5657
    0.000459     MBPol_CLATHRATE_CS1_273K1ATM19
    0.000456     MBPol_LIQUID_277K_1ATM4392
    0.000456     MBPol_LIQUID_277K_1ATM3246
    0.000456     TIP4P2005_LIQUID_293K_20ATM51
    0.000454     MBPol_LIQUID_277K_1ATM9352
    0.000452     TIP4P2005_LIQUID_293K_10ATM304
    0.000451     TIP4P2005_LIQUID_293K_1ATM120
    0.000450     MBPol_CLATHRATE_CS2_16_273K1ATM4
    0.000449     MBPol_LIQUID_277K_1ATM1666
    0.000449     MBPol_CLATHRATE_CS2_12_273K1ATM100
    0.000448     TIP4P2005_LIQUID_273K_30ATM65
    0.000447     MBPol_LIQUID_277K_1ATM2614
    0.000445     MBPol_CLATHRATE_CS2_16_298K1ATM83
    0.000445     MBPol_CLATHRATE_CS2_12_298K1ATM73
    0.000444     MBPol_CLATHRATE_CS1_273K1ATM6
    0.000442     MBPol_LIQUID_277K_1ATM1402
    0.000442     MBPol_LIQUID_253K_1ATM252
    0.000441     MBPol_CLATHRATE_CS2_16_277K1ATM3
    0.000440     MBPol_CLATHRATE_CS1_298K1ATM7
    0.000439     TIP4P2005_LIQUID_253K_1ATM297
    0.000439     TIP4P2005_LIQUID_273K_30ATM91
    0.000438     MBPol_CLATHRATE_CS2_16_277K1ATM4
    0.000436     TIP4P2005_LIQUID_253K_1ATM230
